200,1004,100,199,-53.7804110738
200,1044,100,199,-30.4929181655
200,1044,100,199,-29.523381295
200,1088,100,199,-1.57690429688
200,1108,100,199,12.6520579268
200,1116,100,199,19.0220816116
200,1124,100,199,25.5882352941
200,1124,100,199,26.4745273109
200,1124,100,199,27.3608193277
200,1128,100,199,31.1390360169
200,1128,100,199,31.6852489407
200,1004,100,199,-50.1625419463
200,900,100,199,-101.401785714
200,960,100,199,-71.5346679688
200,1064,100,199,-12.4865904851
200,1104,100,199,14.4814768145
200,1116,100,199,23.8161157025
200,1124,100,199,30.4628413866
200,1124,100,199,31.3491334034
200,1124,100,199,32.4323792017
200,1128,100,199,36.2535752119
200,1128,100,199,37.3956567797
200,1128,100,199,38.2894597458
